Date,Quarter,Gulu - # mothers given uterotonics?,Gulu - # of mothers delivering in facility,Gulu - % mothers given uterotonics,Gulu - # mothers Post Partum Hemorrhage,Omoro - # mothers given uterotonics?,Omoro - # of mothers delivering in facility,Omoro - % mothers given uterotonics,Omoro - # mothers Post Partum Hemorrhage,Lamwo - # mothers given uterotonics?,Lamwo - # of mothers delivering in facility,Lamwo - % mothers given uterotonics,Lamwo - # mothers Post Partum Hemorrhage
1/1/2023,Q1 - 2023,804,822,98%,0,1307,1330,98%,4,1493,1500,100%,3
4/1/2023,Q2 - 2023,622,745,83%,0,1362,1367,100%,1,1452,1493,97%,0
7/1/2023,Q3 - 2023,714,748,95%,1,1502,1582,95%,3,1476,1497,99%,1
10/1/2023,Q4 - 2023,816,841,97%,0,1521,1628,93%,9,1674,1688,99%,1
1/1/2024,Q1 - 2024,666,701,95%,1,1418,1428,99%,1,1436,1496,96%,1
4/1/2024,Q2 - 2024,718,720,100%,1,1393,1404,99%,1,1412,1413,100%,5
7/1/2024,Q3 - 2024,757,761,99%,0,1548,1564,99%,2,1534,1562,98%,3
10/1/2024,Q4 - 2024,887,889,100%,1,1648,1672,99%,2,1698,1703,100%,0
1/1/2025,Q1 - 2025,822,856,96%,1,1471,1515,97%,0,1561,1588,98%,1
4/1/2025,Q2 - 2025,873,873,100%,0,1426,1500,95%,0,1467,1599,92%,0
7/1/2025,Q3 - 2025,,,,,,,,,,,,
10/1/2025,Q4 - 2025,,,,,,,,,,,,
